Topic,Information
Machine Learning,"Machine Learning is a branch of Artificial Intelligence that enables computers to learn from data."
Supervised Learning,"Supervised Learning uses labeled data to train models."
Unsupervised Learning,"Unsupervised Learning finds patterns in unlabeled data."
Reinforcement Learning,"Reinforcement Learning learns through rewards and penalties."
Python,"Python is the most popular programming language for Machine Learning."
NumPy,"NumPy is used for numerical computing."
Pandas,"Pandas is used for data analysis and manipulation."
Matplotlib,"Matplotlib is used for data visualization."
Scikit-learn,"Scikit-learn provides machine learning algorithms."
TensorFlow,"TensorFlow is a deep learning framework developed by Google."
PyTorch,"PyTorch is a deep learning framework developed by Meta."
Classification,"Classification predicts discrete categories."
Regression,"Regression predicts continuous numerical values."
Clustering,"Clustering groups similar data points together."
Feature Scaling,"Feature scaling normalizes numerical features."
Missing Values,"Missing values should be handled before model training."
Accuracy,"Accuracy measures the percentage of correct predictions."
Precision,"Precision measures how many predicted positives are actually positive."
Recall,"Recall measures how many actual positives are correctly identified."
F1 Score,"F1 Score is the harmonic mean of Precision and Recall."
